Generation,Max,Min,Average
1632,23,11,15.20
1633,23,12,15.15
1634,23,9,14.45
1635,23,11,15.10
1636,23,11,14.80
1637,23,12,15.90
1638,23,10,15.20
1639,23,12,15.15
1640,23,11,14.85
1641,23,11,15.70
1642,23,10,15.70
1643,23,10,14.75
1644,23,10,15.00
1645,23,10,15.00
1646,23,12,15.00
1647,23,11,14.95
1648,23,9,14.85
1649,23,9,14.00
1650,23,11,15.50
1651,23,10,15.50
1652,23,8,15.25
1653,23,10,15.20
1654,23,10,14.65
1655,23,9,14.35
1656,23,8,14.15
1657,23,10,14.30
1658,23,12,15.30
1659,23,11,14.90
1660,23,10,14.75
1661,23,10,15.25
1662,23,8,15.45
1663,23,9,15.20
1664,23,12,15.25
1665,23,11,15.40
1666,23,12,15.90
1667,24,11,15.15
1668,24,12,15.80
1669,24,11,14.45
1670,24,7,15.05
1671,24,10,15.05
1672,24,11,16.05
1673,24,10,15.40
1674,24,10,14.65
1675,24,11,15.10
1676,24,11,15.40
1677,24,12,15.10
1678,24,10,15.20
1679,24,12,15.55
1680,24,11,15.40
1681,24,12,15.75
1682,24,12,15.55
1683,24,9,15.55
1684,24,13,15.65
1685,24,12,15.90
1686,24,12,15.70
1687,24,12,15.65
1688,24,12,15.45
1689,24,10,15.80
1690,24,10,15.40
1691,24,10,15.75
1692,24,12,15.25
1693,24,9,14.80
1694,24,11,15.35
1695,24,11,15.45
1696,24,11,15.60
1697,24,10,15.00
1698,24,10,16.20
1699,24,11,15.35
1700,24,9,15.55
1701,24,9,15.15
1702,24,11,15.35
1703,24,10,15.50
1704,24,11,15.20
1705,24,10,15.00
1706,24,10,15.50
1707,24,12,15.75
1708,24,10,16.05
1709,24,10,16.15
1710,24,11,16.30
1711,24,12,16.55
1712,24,12,16.25
1713,24,10,15.10
1714,24,12,15.70
1715,24,13,16.25
1716,24,11,15.90
1717,24,11,15.70
1718,24,10,16.10
1719,24,10,15.10
1720,24,11,15.70
1721,24,12,15.45
1722,24,10,15.30
1723,24,10,14.90
1724,24,10,15.65
1725,24,11,16.00
1726,24,13,16.30
1727,24,11,16.05
1728,24,12,15.85
1729,24,11,15.80
1730,24,12,15.90
1731,24,10,16.05
1732,24,10,15.05
1733,24,11,15.30
1734,24,12,15.95
1735,24,12,16.50
1736,24,10,15.30
1737,24,12,15.95
1738,24,11,16.05
1739,24,12,16.40
1740,24,11,16.10
1741,24,12,15.95
1742,24,13,16.70
1743,24,13,15.90
1744,24,10,16.25
1745,24,10,15.75
1746,24,11,16.85
1747,24,12,16.00
1748,24,12,15.45
1749,24,10,15.55
1750,24,12,15.75
1751,24,11,15.50
1752,24,8,15.60
1753,24,11,15.55
1754,24,11,15.70
1755,24,9,14.75
1756,24,10,15.25
1757,24,9,15.60
1758,24,13,16.15
1759,24,11,15.90
1760,24,10,15.00
1761,24,11,16.20
1762,24,13,15.95
1763,24,12,16.20
1764,24,9,15.25
1765,24,11,15.95
1766,24,11,16.60
1767,24,11,16.50
1768,24,11,16.45
1769,24,8,16.55
1770,24,8,15.60
1771,24,10,16.15
1772,24,12,16.40
1773,24,12,16.50
1774,24,13,16.15
1775,24,12,16.25
1776,24,11,16.15
1777,24,11,16.40
1778,24,12,16.35
1779,24,12,16.05
1780,24,12,16.40
1781,24,12,16.25
1782,24,11,15.95
1783,24,11,16.20
1784,24,11,16.35
1785,24,12,16.10
1786,24,11,16.40
1787,24,10,16.55
1788,24,13,16.70
1789,24,12,16.55
1790,24,11,16.55
1791,24,11,16.20
1792,24,13,16.40
1793,24,11,16.30
1794,24,13,16.95
1795,24,12,16.30
1796,24,13,16.20
1797,24,12,16.85
1798,24,12,16.55
1799,24,11,16.40
1800,24,12,16.25
1801,24,11,16.45
1802,24,9,16.15
1803,24,11,16.55
1804,24,12,16.35
1805,24,11,15.85
1806,24,12,15.90
1807,24,11,15.70
1808,24,9,15.80
1809,24,12,16.05
1810,24,10,15.95
1811,24,10,16.50
1812,24,12,17.15
1813,24,13,16.55
1814,24,12,16.05
1815,24,10,15.25
1816,24,11,15.20
1817,24,11,15.90
1818,24,14,16.80
1819,24,11,16.10
1820,24,12,16.20
1821,24,12,16.40
1822,24,12,16.15
1823,24,13,16.50
1824,24,10,15.80
1825,24,12,16.35
1826,24,11,16.55
1827,24,10,15.65
1828,24,14,16.85
1829,24,10,17.30
1830,24,12,17.40
1831,24,12,17.00
1832,24,11,16.55
1833,24,11,15.55
1834,24,11,15.30
1835,24,11,15.05
1836,24,11,15.35
1837,24,11,15.30
1838,24,13,16.50
1839,24,11,16.25
1840,24,12,16.75
1841,24,13,15.75
1842,24,12,15.75
1843,24,12,16.00
1844,24,12,16.35
1845,24,9,15.55
1846,24,10,15.80
1847,24,8,16.35
1848,24,10,16.50
1849,24,9,15.85
1850,24,12,15.65
1851,24,10,15.95
1852,24,12,15.90
1853,24,11,16.00
1854,24,14,16.90
1855,24,11,16.50
1856,24,11,16.40
1857,24,10,15.60
1858,24,13,16.20
1859,24,11,15.75
1860,24,12,15.95
1861,24,9,15.95
1862,24,13,16.45
1863,24,12,16.65
1864,24,12,16.05
1865,24,12,16.10
1866,24,12,16.00
1867,24,11,15.50
1868,24,12,15.90
1869,24,11,15.35
1870,24,9,16.35
1871,24,13,16.40
1872,24,12,15.80
1873,24,10,15.85
1874,24,12,16.55
1875,24,12,16.15
1876,24,10,16.35
1877,24,12,16.15
1878,24,12,16.65
1879,24,11,15.70
1880,24,9,16.10
1881,24,11,15.90
1882,24,12,15.15
1883,24,12,16.05
1884,24,11,16.65
1885,24,10,15.90
1886,24,12,16.90
1887,24,12,17.15
1888,24,11,16.75
1889,24,12,16.80
1890,24,12,15.90
1891,24,13,15.85
1892,24,11,15.80
1893,24,13,16.60
1894,24,12,16.60
1895,24,12,16.45
1896,24,11,16.10
1897,24,12,16.40
1898,24,11,16.25
1899,24,9,15.75
1900,24,11,16.55
1901,24,13,16.20
1902,24,12,16.40
1903,24,11,16.35
1904,24,12,16.60
1905,24,12,16.65
1906,24,10,16.05
1907,24,10,17.05
1908,24,11,17.40
1909,24,13,16.70
1910,24,12,16.45
1911,24,11,16.40
1912,24,12,16.35
1913,24,12,16.70
1914,24,10,16.50
1915,24,13,17.10
1916,24,9,16.65
1917,24,10,15.90
1918,24,12,15.75
1919,24,10,15.85
1920,24,11,15.95
1921,24,12,15.80
1922,24,11,15.80
1923,24,11,15.75
1924,24,13,16.00
1925,24,13,16.90
1926,24,12,16.45
1927,24,12,16.90
1928,24,12,16.40
1929,24,14,16.35
1930,24,12,16.30
1931,24,11,16.55
1932,24,10,16.60
1933,24,11,15.40
1934,24,14,16.55
1935,24,13,16.15
1936,24,12,15.85
1937,24,13,16.35
1938,24,11,16.60
1939,24,12,16.45
1940,24,14,16.95
1941,24,12,16.85
1942,24,10,15.40
1943,24,12,16.60
1944,24,12,16.75
1945,24,14,16.65
1946,24,11,16.45
1947,24,12,15.90
1948,24,9,15.75
1949,24,11,15.90
1950,24,10,15.75
1951,24,11,15.65
1952,24,10,15.55
1953,24,10,15.55
1954,24,10,15.20
1955,24,11,14.95
1956,24,12,16.25
1957,24,12,15.95
1958,24,11,15.55
1959,24,11,15.75
1960,24,13,16.50
1961,24,11,15.95
1962,24,11,15.60
1963,24,12,15.50
1964,24,12,15.55
1965,24,12,16.20
1966,24,10,15.40
1967,24,11,15.55
1968,24,10,15.80
1969,24,9,16.30
1970,24,11,16.00
1971,24,12,16.00
1972,24,12,15.95
1973,24,12,16.75
1974,24,12,16.30
1975,24,10,15.40
1976,24,11,15.20
1977,24,12,15.60
1978,24,10,15.45
1979,24,11,15.70
1980,24,11,16.05
1981,24,13,16.75
1982,24,12,16.65
1983,24,11,16.55
1984,24,14,17.30
1985,24,11,15.90
1986,24,10,15.35
1987,24,12,15.80
1988,24,11,15.25
1989,24,11,15.65
1990,24,11,15.30
1991,24,12,15.00
1992,24,11,15.35
1993,24,11,16.25
1994,24,12,15.70
1995,24,10,15.90
1996,24,12,15.50
1997,24,9,15.55
1998,24,11,15.80
1999,24,10,15.30
2000,24,11,15.90
